SRC,DST,DST_C,Class_major,class
1049,1095,0.000,0.000,0
1049,13083,0.000,0.000,0
1049,13295,0.000,0.000,0
1051,1051,0.000,0.250,0
1051,1087,1.000,0.250,0
1051,1123,0.000,0.250,0
1053,1099,0.000,0.500,0
1053,12091,1.000,0.500,0
1055,1055,0.000,0.000,0
1055,1095,0.000,0.000,0
1055,1115,0.000,0.000,0
1057,1093,0.000,0.667,1
1057,1107,1.000,0.667,1
1057,1125,1.000,0.667,1
1059,1079,0.000,0.000,0
1059,1093,0.000,0.000,0
1059,1133,0.000,0.000,0
1061,1061,0.000,0.000,0
1063,1063,0.000,0.250,0
1063,1065,0.000,0.250,0
1063,1091,0.000,0.250,0
1063,1107,1.000,0.250,0
1063,1125,1.000,0.250,0
1065,1065,0.000,0.333,0
1065,1091,0.000,0.333,0
1065,1105,1.000,0.333,0
1065,1125,1.000,0.333,0
1067,13061,0.000,0.000,0
1071,1095,0.000,0.000,0
1071,13083,0.000,0.000,0
1071,47051,0.000,0.000,0
1073,1115,0.000,0.500,0
1073,1125,1.000,0.500,0
1075,1093,0.000,0.667,1
1075,1107,1.000,0.667,1
1075,28087,1.000,0.667,1
1077,1077,0.000,0.000,0
1077,1079,0.000,0.000,0
1077,1083,0.000,0.000,0
1077,47055,0.000,0.000,0
1077,47071,0.000,0.000,0
1077,47181,0.000,0.000,0
1079,1079,0.000,0.000,0
1079,1083,0.000,0.000,0
1079,1133,0.000,0.000,0
1081,1081,1.000,0.900,1
1081,1087,1.000,0.900,1
1081,1113,1.000,0.900,1
1081,1123,0.000,0.900,1
1081,13145,1.000,0.900,1
1081,13215,1.000,0.900,1
1083,1083,0.000,0.000,0
1083,47055,0.000,0.000,0
1083,47103,0.000,0.000,0
1085,1085,1.000,1.000,1
1087,1087,1.000,0.750,1
1087,1113,1.000,0.750,1
1087,1123,0.000,0.750,1
1089,1095,0.000,0.000,0
1089,47051,0.000,0.000,0
1089,47103,0.000,0.000,0
1091,1091,0.000,0.500,0
1091,1105,1.000,0.500,0
1093,1093,0.000,0.000,0
1093,1133,0.000,0.000,0
1095,1095,0.000,0.000,0
1097,28039,0.000,0.000,0
1099,1099,0.000,0.000,0
1105,1105,1.000,1.000,1
1107,1107,1.000,1.000,1
1107,1125,1.000,1.000,1
1107,28087,1.000,1.000,1
1107,28103,1.000,1.000,1
1111,1111,0.000,0.000,0
1111,1123,0.000,0.000,0
1111,13149,0.000,0.000,0
1111,13285,0.000,0.000,0
1113,1113,1.000,0.750,1
1113,13215,1.000,0.750,1
1113,13259,0.000,0.750,1
1115,1115,0.000,0.000,0
1119,28069,0.000,0.500,0
1119,28103,1.000,0.500,0
1123,1123,0.000,0.000,0
1125,1125,1.000,1.000,1
1127,1133,0.000,0.000,0
1129,28153,1.000,1.000,1
1133,1133,0.000,0.000,0
4001,4009,0.000,0.667,1
4001,4017,1.000,0.667,1
4001,35006,0.000,0.667,1
4001,35031,1.000,0.667,1
4001,35045,1.000,0.667,1
4001,49037,1.000,0.667,1
4003,4003,1.000,0.833,1
4003,4009,0.000,0.833,1
4003,4019,1.000,0.833,1
4003,4023,1.000,0.833,1
4005,4015,0.000,0.500,0
4005,4017,1.000,0.500,0
4005,4025,0.000,0.500,0
4005,49037,1.000,0.500,0
4007,4009,0.000,0.400,0
4007,4013,1.000,0.400,0
4007,4017,1.000,0.400,0
4007,4021,0.000,0.400,0
4007,4025,0.000,0.400,0
4009,4009,0.000,0.333,0
4009,4017,1.000,0.333,0
4009,4019,1.000,0.333,0
4009,4021,0.000,0.333,0
4011,35017,1.000,1.000,1
4012,4012,0.000,0.200,0
4012,4013,1.000,0.200,0
4012,4015,0.000,0.200,0
4012,4025,0.000,0.200,0
4012,4027,1.000,0.200,0
4012,6065,0.000,0.200,0
4013,4013,1.000,0.750,1
4013,4019,1.000,0.750,1
4013,4021,0.000,0.750,1
4013,4025,0.000,0.750,1
4013,4027,1.000,0.750,1
4015,4015,0.000,0.000,0
4015,4025,0.000,0.000,0
4015,32003,0.000,0.000,0
4017,4017,1.000,1.000,1
4017,49037,1.000,1.000,1
4019,4019,1.000,0.833,1
4019,4021,0.000,0.833,1
4019,4023,1.000,0.833,1
4019,4027,1.000,0.833,1
4021,4021,0.000,0.000,0
4023,4023,1.000,1.000,1
4025,4025,0.000,0.000,0
4027,4027,1.000,1.000,1
5001,5069,0.000,0.200,0
5001,5079,0.000,0.200,0
5001,5085,0.000,0.200,0
5001,5107,1.000,0.200,0
5001,5117,0.000,0.200,0
5003,5003,0.000,0.125,0
5003,5011,0.000,0.125,0
5003,5017,0.000,0.125,0
5003,5139,0.000,0.125,0
5003,22067,1.000,0.125,0
5005,5049,0.000,0.000,0
5005,5137,0.000,0.000,0
5007,5007,0.000,0.000,0
5007,5015,0.000,0.000,0
5009,5015,0.000,0.000,0
5009,5101,0.000,0.000,0
5011,5011,0.000,0.000,0
5011,5139,0.000,0.000,0
5013,5139,0.000,0.000,0
5015,5015,0.000,0.000,0
5015,5101,0.000,0.000,0
5017,5017,0.000,0.500,0
5017,22035,1.000,0.500,0
5017,22067,1.000,0.500,0
5017,28151,1.000,0.500,0
5019,5097,0.000,0.000,0
5019,5099,0.000,0.000,0
5021,5021,0.000,0.167,0
5021,5055,0.000,0.167,0
5021,29069,1.000,0.167,0
5021,29181,0.000,0.167,0
5023,5045,1.000,0.333,0
5023,5063,0.000,0.333,0
5023,5137,0.000,0.333,0
5025,5053,0.000,0.000,0
5025,5069,0.000,0.000,0
5025,5079,0.000,0.000,0
5027,5027,0.000,0.125,0
5027,5099,0.000,0.125,0
5027,5139,0.000,0.125,0
5027,22027,0.000,0.125,0
5027,22119,1.000,0.125,0
5029,5029,0.000,0.167,0
5029,5045,1.000,0.167,0
5029,5105,0.000,0.167,0
5029,5149,0.000,0.167,0
5031,5055,0.000,0.400,0
5031,5075,0.000,0.400,0
5031,5093,1.000,0.400,0
5031,5111,0.000,0.400,0
5031,29069,1.000,0.400,0
5033,5131,0.000,0.000,0
5033,40135,0.000,0.000,0
5035,5035,0.000,0.100,0
5035,5037,0.000,0.100,0
5035,5093,1.000,0.100,0
5035,5111,0.000,0.100,0
5035,5123,0.000,0.100,0
5035,28033,0.000,0.100,0
5037,5037,0.000,0.000,0
5037,5111,0.000,0.000,0
5037,5123,0.000,0.000,0
5039,5053,0.000,0.000,0
5041,5079,0.000,0.500,0
5041,5107,1.000,0.500,0
5043,5079,0.000,0.000,0
5045,5045,1.000,0.667,1
5045,5085,0.000,0.667,1
5045,5105,0.000,0.667,1
5045,5119,1.000,0.667,1
5047,5071,0.000,0.000,0
5047,5131,0.000,0.000,0
5049,5049,0.000,0.000,0
5049,29091,0.000,0.000,0
5051,5097,0.000,0.000,0
5051,5105,0.000,0.000,0
5051,5149,0.000,0.000,0
5053,5053,0.000,0.250,0
5053,5069,0.000,0.250,0
5053,5119,1.000,0.250,0
5055,5055,0.000,0.250,0
5055,5075,0.000,0.250,0
5055,29069,1.000,0.250,0
5057,5091,0.000,0.000,0
5057,5099,0.000,0.000,0
5059,5097,0.000,0.000,0
5061,5097,0.000,0.000,0
5061,5133,0.000,0.000,0
5063,5063,0.000,0.000,0
5063,5075,0.000,0.000,0
5063,5137,0.000,0.000,0
5065,5137,0.000,0.000,0
5067,5075,0.000,0.000,0
5067,5111,0.000,0.000,0
5069,5069,0.000,0.167,0
5069,5079,0.000,0.167,0
5069,5085,0.000,0.167,0
5069,5119,1.000,0.167,0
5071,5071,0.000,0.000,0
5071,5101,0.000,0.000,0
5073,5091,0.000,0.250,0
5073,5099,0.000,0.250,0
5073,22015,0.000,0.250,0
5073,22119,1.000,0.250,0
5075,5075,0.000,0.000,0
5077,5107,1.000,0.500,0
5077,5123,0.000,0.500,0
5079,5079,0.000,0.000,0
5081,5091,0.000,0.000,0
5081,5133,0.000,0.000,0
5083,5131,0.000,0.000,0
5083,5149,0.000,0.000,0
5085,5085,0.000,0.250,0
5085,5117,0.000,0.250,0
5085,5119,1.000,0.250,0
5087,5101,0.000,0.000,0
5091,5091,0.000,0.167,0
5091,22015,0.000,0.167,0
5091,22017,1.000,0.167,0
5091,48067,0.000,0.167,0
5093,5093,1.000,0.750,1
5093,5111,0.000,0.750,1
5093,29069,1.000,0.750,1
5093,47045,0.000,0.750,1
5093,47097,1.000,0.750,1
5095,5107,1.000,0.333,0
5095,5117,0.000,0.333,0
5095,5123,0.000,0.333,0
5097,5097,0.000,0.000,0
5097,5149,0.000,0.000,0
5099,5099,0.000,0.000,0
5101,5101,0.000,0.000,0
5103,5139,0.000,0.000,0
5105,5105,0.000,0.250,0
5105,5119,1.000,0.250,0
5105,5149,0.000,0.250,0
5107,5107,1.000,1.000,1
5107,28027,1.000,1.000,1
5111,5111,0.000,0.000,0
5113,5133,0.000,0.000,0
5115,5149,0.000,0.000,0
5117,5117,0.000,0.000,0
5119,5119,1.000,1.000,1
5121,29181,0.000,0.000,0
5123,5123,0.000,0.000,0
5127,5131,0.000,0.000,0
5127,5149,0.000,0.000,0
5129,5137,0.000,0.000,0
5131,5131,0.000,0.000,0
5131,40135,0.000,0.000,0
5133,5133,0.000,0.000,0
5137,5137,0.000,0.000,0
5139,5139,0.000,0.250,0
5139,22027,0.000,0.250,0
5139,22067,1.000,0.250,0
5149,5149,0.000,0.000,0
6001,6001,1.000,1.000,1
6001,6075,1.000,1.000,1
6001,6081,1.000,1.000,1
6001,6085,1.000,1.000,1
6003,6003,1.000,0.500,0
6003,6005,0.000,0.500,0
6003,6017,0.000,0.500,0
6003,32005,0.000,0.500,0
6005,6005,0.000,0.250,0
6005,6017,0.000,0.250,0
6005,6067,1.000,0.250,0
6007,6101,1.000,0.667,1
6007,6103,0.000,0.667,1
6007,6115,1.000,0.667,1
6011,6101,1.000,1.000,1
6013,6041,1.000,0.750,1
6013,6067,1.000,0.750,1
6013,6075,1.000,0.750,1
6013,6097,0.000,0.750,1
6015,6093,0.000,0.000,0
6015,41015,0.000,0.000,0
6015,41033,0.000,0.000,0
6017,6017,0.000,0.250,0
6017,6067,1.000,0.250,0
6017,32005,0.000,0.250,0
6019,6019,1.000,1.000,1
6019,6039,1.000,1.000,1
6019,6047,1.000,1.000,1
6019,6107,1.000,1.000,1
6021,6045,0.000,0.000,0
6021,6103,0.000,0.000,0
6023,6045,0.000,0.000,0
6023,6093,0.000,0.000,0
6023,6105,0.000,0.000,0
6025,6065,0.000,0.500,0
6025,6073,1.000,0.500,0
6027,6029,1.000,0.500,0
6027,6107,1.000,0.500,0
6027,32003,0.000,0.500,0
6027,32023,0.000,0.500,0
6029,6029,1.000,1.000,1
6029,6107,1.000,1.000,1
6029,6111,1.000,1.000,1
6031,6107,1.000,1.000,1
6033,6045,0.000,0.000,0
6033,6055,0.000,0.000,0
6033,6097,0.000,0.000,0
6035,6089,0.000,0.000,0
6035,6091,0.000,0.000,0
6037,6111,1.000,1.000,1
6039,6039,1.000,0.750,1
6039,6043,0.000,0.750,1
6039,6047,1.000,0.750,1
6041,6041,1.000,0.750,1
6041,6075,1.000,0.750,1
6041,6097,0.000,0.750,1
6043,6043,0.000,0.500,0
6043,6047,1.000,0.500,0
6045,6045,0.000,0.000,0
6045,6097,0.000,0.000,0
6045,6103,0.000,0.000,0
6045,6105,0.000,0.000,0
6047,6047,1.000,1.000,1
6047,6085,1.000,1.000,1
6049,6089,0.000,0.000,0
6049,6093,0.000,0.000,0
6049,41037,0.000,0.000,0
6051,32005,0.000,0.000,0
6053,6087,1.000,1.000,1
6055,6055,0.000,0.000,0
6055,6097,0.000,0.000,0
6057,6057,1.000,0.750,1
6057,6091,0.000,0.750,1
6057,6115,1.000,0.750,1
6059,6065,0.000,0.500,0
6059,6073,1.000,0.500,0
6061,6067,1.000,0.600,1
6061,6101,1.000,0.600,1
6061,6115,1.000,0.600,1
6061,32005,0.000,0.600,1
6061,32510,0.000,0.600,1
6063,6089,0.000,0.250,0
6063,6091,0.000,0.250,0
6063,6103,0.000,0.250,0
6063,6115,1.000,0.250,0
6065,6065,0.000,0.500,0
6065,6073,1.000,0.500,0
6067,6067,1.000,1.000,1
6067,6101,1.000,1.000,1
6069,6085,1.000,1.000,1
6069,6087,1.000,1.000,1
6071,32003,0.000,0.000,0
6073,6073,1.000,1.000,1
6075,6075,1.000,1.000,1
6075,6081,1.000,1.000,1
6081,6081,1.000,1.000,1
6081,6085,1.000,1.000,1
6081,6087,1.000,1.000,1
6083,6111,1.000,1.000,1
6085,6085,1.000,1.000,1
6085,6087,1.000,1.000,1
6087,6087,1.000,1.000,1
6089,6089,0.000,0.000,0
6089,6093,0.000,0.000,0
6089,6103,0.000,0.000,0
6089,6105,0.000,0.000,0
6091,6091,0.000,0.500,0
6091,6115,1.000,0.500,0
6093,6093,0.000,0.167,0
6093,6105,0.000,0.167,0
6093,41029,1.000,0.167,0
6093,41033,0.000,0.167,0
6095,6097,0.000,0.000,0
6097,6097,0.000,0.000,0
6101,6101,1.000,1.000,1
6101,6115,1.000,1.000,1
6103,6103,0.000,0.000,0
6103,6105,0.000,0.000,0
6105,6105,0.000,0.000,0
6107,6107,1.000,1.000,1
6111,6111,1.000,1.000,1
6115,6115,1.000,1.000,1
8001,8001,0.000,0.250,0
8001,8005,1.000,0.250,0
8001,8059,1.000,0.250,0
8001,8087,0.000,0.250,0
8001,8121,0.000,0.250,0
8003,8021,0.000,0.000,0
8003,8055,0.000,0.000,0
8005,8005,1.000,0.750,1
8005,8035,1.000,0.750,1
8005,8059,1.000,0.750,1
8005,8073,0.000,0.750,1
8005,8121,0.000,0.750,1
8007,8021,0.000,0.500,0
8007,35045,1.000,0.500,0
8009,8011,0.000,0.000,0
8009,8099,0.000,0.000,0
8009,20129,0.000,0.000,0
8009,35059,0.000,0.000,0
8009,40025,0.000,0.000,0
8011,8011,0.000,0.000,0
8011,8099,0.000,0.000,0
8013,8013,1.000,1.000,1
8013,8049,1.000,1.000,1
8013,8059,1.000,1.000,1
8013,8069,1.000,1.000,1
8014,8059,1.000,1.000,1
8015,8015,1.000,0.833,1
8015,8065,1.000,0.833,1
8015,8093,0.000,0.833,1
8015,8097,1.000,0.833,1
8017,8063,0.000,0.000,0
8017,8073,0.000,0.000,0
8019,8049,1.000,0.667,1
8019,8059,1.000,0.667,1
8019,8093,0.000,0.667,1
8021,8021,0.000,0.000,0
8023,8055,0.000,0.000,0
8025,8025,0.000,0.167,0
8025,8041,1.000,0.167,0
8025,8073,0.000,0.167,0
8025,8101,0.000,0.167,0
8027,8027,0.000,0.000,0
8027,8055,0.000,0.000,0
8027,8101,0.000,0.000,0
8029,8029,0.000,0.000,0
8029,8077,0.000,0.000,0
8031,8059,1.000,1.000,1
8033,49037,1.000,1.000,1
8035,8035,1.000,1.000,1
8035,8041,1.000,1.000,1
8035,8059,1.000,1.000,1
8035,8119,1.000,1.000,1
8037,8037,1.000,1.000,1
8037,8045,1.000,1.000,1
8037,8049,1.000,1.000,1
8037,8065,1.000,1.000,1
8037,8097,1.000,1.000,1
8037,8107,1.000,1.000,1
8039,8041,1.000,0.500,0
8039,8073,0.000,0.500,0
8041,8041,1.000,0.667,1
8041,8073,0.000,0.667,1
8041,8101,0.000,0.667,1
8041,8119,1.000,0.667,1
8043,8093,0.000,0.333,0
8043,8101,0.000,0.333,0
8043,8119,1.000,0.333,0
8045,8045,1.000,0.875,1
8045,8077,0.000,0.875,1
8045,8097,1.000,0.875,1
8045,8107,1.000,0.875,1
8045,49019,1.000,0.875,1
8047,8049,1.000,1.000,1
8047,8059,1.000,1.000,1
8049,8049,1.000,1.000,1
8049,8069,1.000,1.000,1
8049,8107,1.000,1.000,1
8051,8077,0.000,0.667,1
8051,8091,1.000,0.667,1
8051,8097,1.000,0.667,1
8053,8091,1.000,1.000,1
8055,8055,0.000,0.000,0
8055,8101,0.000,0.000,0
8057,8069,1.000,0.667,1
8057,8107,1.000,0.667,1
8057,56007,0.000,0.667,1
8059,8059,1.000,0.750,1
8059,8093,0.000,0.750,1
8059,8119,1.000,0.750,1
8061,8073,0.000,0.000,0
8061,8099,0.000,0.000,0
8063,8063,0.000,0.000,0
8063,8073,0.000,0.000,0
8063,8121,0.000,0.000,0
8063,20023,0.000,0.000,0
8065,8065,1.000,0.750,1
8065,8093,0.000,0.750,1
8065,8097,1.000,0.750,1
8067,35045,1.000,1.000,1
8069,8069,1.000,1.000,1
8071,8101,0.000,0.000,0
8071,35059,0.000,0.000,0
8073,8073,0.000,0.000,0
8073,8101,0.000,0.000,0
8073,8121,0.000,0.000,0
8075,8087,0.000,0.000,0
8075,8115,0.000,0.000,0
8075,8121,0.000,0.000,0
8075,31033,0.000,0.000,0
8075,31105,0.000,0.000,0
8077,8077,0.000,0.500,0
8077,8097,1.000,0.500,0
8077,49019,1.000,0.500,0
8077,49037,1.000,0.500,0
8081,8107,1.000,0.500,0
8081,56007,0.000,0.500,0
8083,35045,1.000,1.000,1
8083,49037,1.000,1.000,1
8085,8091,1.000,1.000,1
8085,49019,1.000,1.000,1
8085,49037,1.000,1.000,1
8087,8087,0.000,0.000,0
8087,8121,0.000,0.000,0
8089,8101,0.000,0.000,0
8091,8091,1.000,1.000,1
8093,8093,0.000,0.500,0
8093,8119,1.000,0.500,0
8095,8115,0.000,0.000,0
8095,31135,0.000,0.000,0
8097,8097,1.000,1.000,1
8099,8099,0.000,0.000,0
8099,20075,0.000,0.000,0
8101,8101,0.000,0.000,0
8103,8107,1.000,1.000,1
8107,8107,1.000,0.500,0
8107,56007,0.000,0.500,0
8113,49037,1.000,1.000,1
8115,8115,0.000,0.000,0
8115,31033,0.000,0.000,0
8115,31135,0.000,0.000,0
8119,8119,1.000,1.000,1
8121,8121,0.000,0.000,0
8123,31105,0.000,0.000,0
8125,20023,0.000,0.000,0
8125,31057,0.000,0.000,0
9001,36027,1.000,0.750,1
9001,36059,1.000,0.750,1
9001,36079,0.000,0.750,1
9001,36119,1.000,0.750,1
9003,9007,1.000,1.000,1
9003,25013,1.000,1.000,1
9005,25003,1.000,1.000,1
9005,25013,1.000,1.000,1
9005,36027,1.000,1.000,1
9007,9007,1.000,1.000,1
9011,9015,0.000,0.667,1
9011,44003,1.000,0.667,1
9011,44009,1.000,0.667,1
9013,9015,0.000,0.667,1
9013,25013,1.000,0.667,1
9013,25027,1.000,0.667,1
9015,9015,0.000,0.500,0
9015,25027,1.000,0.500,0
9015,44003,1.000,0.500,0
10001,10001,0.000,0.167,0
10001,24035,0.000,0.167,0
10001,34009,1.000,0.167,0
10001,34011,0.000,0.167,0
10003,24015,0.000,0.000,0
10003,34015,0.000,0.000,0
10005,24045,1.000,1.000,1
10005,24047,1.000,1.000,1
10005,34009,1.000,1.000,1
11001,24031,1.000,1.000,1
11001,51059,1.000,1.000,1
12001,12023,0.000,0.000,0
12001,12125,0.000,0.000,0
12003,12019,0.000,0.000,0
12003,12023,0.000,0.000,0
12003,12125,0.000,0.000,0
12005,12013,0.000,0.000,0
12005,12045,0.000,0.000,0
12007,12019,0.000,0.000,0
12007,12125,0.000,0.000,0
12009,12061,0.000,0.333,0
12009,12095,1.000,0.333,0
12009,12097,0.000,0.333,0
12011,12051,0.000,0.667,1
12011,12086,1.000,0.667,1
12011,12099,1.000,0.667,1
12013,12013,0.000,0.000,0
12013,12039,0.000,0.000,0
12013,12045,0.000,0.000,0
12013,12077,0.000,0.000,0
12015,12015,0.000,0.000,0
12015,12027,0.000,0.000,0
12015,12051,0.000,0.000,0
12015,12071,0.000,0.000,0
12017,12053,0.000,0.000,0
12019,12019,0.000,0.500,0
12019,12109,1.000,0.500,0
12021,12051,0.000,0.250,0
12021,12071,0.000,0.250,0
12021,12086,1.000,0.250,0
12021,12087,0.000,0.250,0
12023,12023,0.000,0.000,0
12023,12047,0.000,0.000,0
12023,12125,0.000,0.000,0
12027,12027,0.000,0.000,0
12027,12049,0.000,0.000,0
12027,12081,0.000,0.000,0
12029,12067,0.000,0.000,0
12031,12109,1.000,1.000,1
12035,12109,1.000,1.000,1
12037,12037,0.000,0.000,0
12037,12045,0.000,0.000,0
12037,12077,0.000,0.000,0
12037,12129,0.000,0.000,0
12039,12039,0.000,0.167,0
12039,12073,1.000,0.167,0
12039,12077,0.000,0.167,0
12039,13131,0.000,0.167,0
12041,12067,0.000,0.000,0
12043,12051,0.000,0.400,0
12043,12071,0.000,0.400,0
12043,12085,1.000,0.400,0
12043,12093,0.000,0.400,0
12043,12099,1.000,0.400,0
12045,12045,0.000,0.000,0
12045,12077,0.000,0.000,0
12047,12047,0.000,0.000,0
12047,13027,0.000,0.000,0
12049,12049,0.000,0.000,0
12049,12081,0.000,0.000,0
12049,12105,0.000,0.000,0
12051,12051,0.000,0.250,0
12051,12071,0.000,0.250,0
12051,12085,1.000,0.250,0
12051,12093,0.000,0.250,0
12051,12099,1.000,0.250,0
12053,12053,0.000,0.000,0
12055,12093,0.000,0.000,0
12055,12097,0.000,0.000,0
12055,12105,0.000,0.000,0
12057,12081,0.000,0.333,0
12057,12103,1.000,0.333,0
12057,12105,0.000,0.333,0
12061,12061,0.000,0.000,0
12061,12093,0.000,0.000,0
12061,12097,0.000,0.000,0
12063,12077,0.000,0.000,0
12065,12065,0.000,0.167,0
12065,12073,1.000,0.167,0
12065,12129,0.000,0.167,0
12065,13027,0.000,0.167,0
12067,12067,0.000,0.000,0
12069,12095,1.000,0.333,0
12069,12097,0.000,0.333,0
12069,12105,0.000,0.333,0
12071,12071,0.000,0.000,0
12073,12073,1.000,0.500,0
12073,12077,0.000,0.500,0
12073,12129,0.000,0.500,0
12073,13131,0.000,0.500,0
12077,12077,0.000,0.000,0
12077,12129,0.000,0.000,0
12079,13027,0.000,0.000,0
12081,12081,0.000,0.000,0
12081,12105,0.000,0.000,0
12085,12085,1.000,0.750,1
12085,12093,0.000,0.750,1
12085,12099,1.000,0.750,1
12086,12086,1.000,0.500,0
12086,12087,0.000,0.500,0
12087,12087,0.000,0.000,0
12089,13039,0.000,0.000,0
12091,12091,1.000,1.000,1
12093,12093,0.000,0.167,0
12093,12097,0.000,0.167,0
12093,12099,1.000,0.167,0
12093,12105,0.000,0.167,0
12095,12095,1.000,0.500,0
12095,12097,0.000,0.500,0
12095,12105,0.000,0.500,0
12097,12097,0.000,0.000,0
12097,12105,0.000,0.000,0
12099,12099,1.000,1.000,1
12101,12103,1.000,0.500,0
12101,12105,0.000,0.500,0
12103,12103,1.000,1.000,1
12105,12105,0.000,0.000,0
12107,12109,1.000,1.000,1
12109,12109,1.000,1.000,1
12125,12125,0.000,0.000,0
12129,12129,0.000,0.000,0
13001,13001,0.000,0.167,0
13001,13229,0.000,0.167,0
13001,13267,0.000,0.167,0
13001,13279,1.000,0.167,0
13003,13003,0.000,0.000,0
13003,13069,0.000,0.000,0
13005,13069,0.000,0.000,0
13005,13229,0.000,0.000,0
13007,13037,1.000,0.667,1
13007,13095,1.000,0.667,1
13007,13205,0.000,0.667,1
13009,13009,0.000,0.000,0
13009,13169,0.000,0.000,0
13009,13237,0.000,0.000,0
13009,13319,0.000,0.000,0
13011,13011,0.000,0.000,0
13011,13119,0.000,0.000,0
13011,13139,0.000,0.000,0
13011,13257,0.000,0.000,0
13013,13013,0.000,0.250,0
13013,13139,0.000,0.250,0
13013,13219,1.000,0.250,0
13015,13015,0.000,0.000,0
13015,13129,0.000,0.000,0
13015,13223,0.000,0.000,0
13015,13227,0.000,0.000,0
13017,13017,0.000,0.000,0
13017,13069,0.000,0.000,0
13019,13069,0.000,0.000,0
13019,13075,0.000,0.000,0
13021,13021,1.000,0.625,1
13021,13153,1.000,0.625,1
13021,13169,0.000,0.625,1
13021,13207,0.000,0.625,1
13021,13289,0.000,0.625,1
13023,13023,0.000,0.200,0
13023,13091,1.000,0.200,0
13023,13153,1.000,0.200,0
13023,13235,0.000,0.200,0
13023,13289,0.000,0.200,0
13023,13319,0.000,0.200,0
13025,13039,0.000,0.333,0
13025,13127,1.000,0.333,0
13025,13229,0.000,0.333,0
13027,13027,0.000,0.000,0
13027,13071,0.000,0.000,0
13027,13075,0.000,0.000,0
13029,13029,1.000,0.500,0
13029,13109,0.000,0.500,0
13029,13179,0.000,0.500,0
13031,13043,0.000,0.333,0
13031,13109,0.000,0.333,0
13031,13165,1.000,0.333,0
13033,13163,0.000,0.500,0
13033,13165,1.000,0.500,0
13033,13245,1.000,0.500,0
13033,45003,0.000,0.500,0
13035,13035,0.000,0.000,0
13035,13159,0.000,0.000,0
13035,13171,0.000,0.000,0
13035,13207,0.000,0.000,0
13035,13217,0.000,0.000,0
13035,13255,0.000,0.000,0
13037,13037,1.000,0.750,1
13037,13061,0.000,0.750,1
13037,13095,1.000,0.750,1
13039,13039,0.000,0.500,0
13039,13127,1.000,0.500,0
13043,13043,0.000,0.167,0
13043,13109,0.000,0.167,0
13043,13267,0.000,0.167,0
13043,13279,1.000,0.167,0
13045,13077,0.000,0.000,0
13045,13143,0.000,0.000,0
13045,13149,0.000,0.000,0
13045,13223,0.000,0.000,0
13047,13047,0.000,0.167,0
13047,13295,0.000,0.167,0
13047,13313,0.000,0.167,0
13047,47065,1.000,0.167,0
